"i","j","k","d_ik","d_ij_plus_jk","excess"
2,1,3,33.8928251784393,24.7100570322346,9.18276814620465
3,1,2,33.8928251784393,24.7100570322346,9.18276814620465
2,1,5,31.6991393832712,22.6064080977039,9.09273128556737
5,1,2,31.6991393832712,22.6064080977039,9.09273128556737
2,1,4,47.2283298558193,38.5845409814981,8.6437888743212
4,1,2,47.2283298558193,38.5845409814981,8.6437888743212
6,1,12,28.0840536457376,20.1398963342041,7.94415731153344
12,1,6,28.0840536457376,20.1398963342041,7.94415731153344
1,8,10,20.1907795955896,12.7810834077611,7.40969618782851
10,8,1,20.1907795955896,12.7810834077611,7.40969618782851
6,5,15,29.1751918622817,21.9186373741707,7.25655448811098
15,5,6,29.1751918622817,21.9186373741707,7.25655448811098
5,7,11,23.7816414970926,16.554378506643,7.22726299044956
11,7,5,23.7816414970926,16.554378506643,7.22726299044956
3,7,11,25.8606752392599,18.7465462364329,7.11412900282703
11,7,3,25.8606752392599,18.7465462364329,7.11412900282703
4,3,7,31.0929037155023,23.9827766367054,7.11012707879687
7,3,4,31.0929037155023,23.9827766367054,7.11012707879687
2,6,4,47.2283298558193,40.4643769241599,6.76395293165942
4,6,2,47.2283298558193,40.4643769241599,6.76395293165942
8,1,15,34.47800278152,27.9839031059061,6.49409967561386
15,1,8,34.47800278152,27.9839031059061,6.49409967561386
4,3,15,35.6743072835338,29.2522394499527,6.42206783358109
15,3,4,35.6743072835338,29.2522394499527,6.42206783358109
2,1,15,35.2790651646325,28.942381410334,6.33668375429848
15,1,2,35.2790651646325,28.942381410334,6.33668375429848
5,7,12,27.7464545209453,21.4715599284725,6.27489459247276
12,7,5,27.7464545209453,21.4715599284725,6.27489459247276
2,14,11,18.1806246999203,11.9589749526084,6.22164974731191
11,14,2,18.1806246999203,11.9589749526084,6.22164974731191
3,7,12,29.7477419688643,23.6637276582624,6.0840143106019
12,7,3,29.7477419688643,23.6637276582624,6.0840143106019
4,6,9,46.8530784787134,40.9710636100433,5.88201486867002
9,6,4,46.8530784787134,40.9710636100433,5.88201486867002
7,1,8,20.5671204766787,14.7546067144636,5.81251376221512
8,1,7,20.5671204766787,14.7546067144636,5.81251376221512
10,8,15,45.9713619474151,40.2159721215476,5.75538982586751
15,8,10,45.9713619474151,40.2159721215476,5.75538982586751
4,8,9,46.8530784787134,41.1275087439813,5.72556973473208
9,8,4,46.8530784787134,41.1275087439813,5.72556973473208
7,8,10,32.0055982179279,26.3050898167063,5.70050840122155
10,8,7,32.0055982179279,26.3050898167063,5.70050840122155
2,1,7,21.3753394126214,15.7130850188914,5.66225439372994
7,1,2,21.3753394126214,15.7130850188914,5.66225439372994
8,14,13,19.1151163596655,13.4921979132198,5.62291844644572
13,14,8,19.1151163596655,13.4921979132198,5.62291844644572
4,1,12,47.0119838624656,41.5035530793814,5.50843078308423
12,1,4,47.0119838624656,41.5035530793814,5.50843078308423
3,1,9,35.5976237599093,30.0970757480883,5.50054801182104
9,1,3,35.5976237599093,30.0970757480883,5.50054801182104
3,8,9,35.5976237599093,30.1057783979343,5.49184536197498
9,8,3,35.5976237599093,30.1057783979343,5.49184536197498
5,8,9,33.1447235277656,27.6805911573302,5.46413237043536
9,8,5,33.1447235277656,27.6805911573302,5.46413237043536
10,8,11,34.6568613133229,29.2156247954512,5.44123651787178
11,8,10,34.6568613133229,29.2156247954512,5.44123651787178
10,9,13,28.9673530474756,23.5993006172133,5.36805243026226
